1000 1
1335970176 -189913092 7159828131
7712463964 -2082947026 2891554479
-143215807 383426761 2241467217
-1962783141 5103272303 8568007439
4386938445 -457989319 6782460067
5858152964 408807629 711723938
-6010422894 -7477957622 -7126814498
7139409341 -3506824225 6048636823
4419155978 -1476705152 6269477635
-7496334886 -3283168324 -7670283641
-4415833282 9059371748 9432516270
6681983428 8545420372 9096440604
2898260030 -7769025115 -7609885447
-8493273204 -5003689752 -8435593175
1852564481 -7527650889 7949352376
-1520255438 -5941186570 669645483
8327072146 -1348016879 -7045039387
-4761006575 -228324459 4893818904
3739284828 9375384384 -6055756802
-5190075647 7981222517 -1961947947
-3023822655 -3822402473 2888486869
-691186780 -7072493301 9610248787
4437389231 -6592524297 -476030079
5182863327 -9723976892 6988681858
296352963 -6548880635 3642706131
-4923441983 -4859161360 -1469169468
-9121455044 7852569623 8403726761
6823553037 7513954781 -3939724668
-2909637346 -6297893389 -6763255665
-374794014 8411997666 1597878321
715642792 -3182464187 4273970763
-5781783414 -9551006271 -7473055106
-5912993870 -2238629246 7605528558
-6408168821 -7581416969 -911696188
-159797440 -9320291191 -8328095289
-3589703460 2856021528 3409165479
-8752318032 -2012935823 -4002697073
-2284916133 -8313645768 -1683301358
164846175 -4751653422 -7636764773
-8282594672 -906598206 733084919
-5721499342 -502558706 -5056845395
-2594548085 -5270096938 -588425328
7832622845 -3548607643 -4017521368
1703553229 4856777974 -6352507295
-2092137629 8552634417 5455299109
8748351184 2109645803 -5339932476
6015681608 -606398309 7260826645
9672243869 1843461773 8710562203
-3827227674 -1355342441 -8197549389
3191981313 7396898538 2967845237
-1201057743 -9545924341 -4360291431
4751234147 7048479791 -4875717181
8944685404 5509939805 -1868832801
-6577818499 4102036621 -5807069986
8584760295 -3846123773 4689053845
-1432779836 -8813571626 -1351060408
2064184228 -5962931277 3934895577
2743570690 -750281601 -7276046985
3934063691 -6945223426 -2470837984
-2566490638 -6141409713 3737859241
-4004277444 -2685755437 -3162686234
-7668093148 -7211242792 -8745670104
85759630 -4025705163 -8718701754
-5848703936 5223278817 -6479142352
-6510584775 -117925533 -5790209821
4016735036 -6100569325 2924391566
-6719893921 2481478909 8192717149
5067670008 3253616026 7409271801
-8329293989 7616254312 4583972117
-8895822010 -9113950284 282297519
354720874 -757431710 -6332349520
9707937746 -753659327 -3118254286
8689739753 1596612394 -2186989702
8161518139 9913958521 -835443880
-2137438989 3758764830 -3924085184
-6231540487 -5815732455 -4562998159
7850469193 -8046427629 1841066064
-8338083900 -5062922013 7182658375
5833815418 -4433476087 -518844925
7502260966 4638485719 8686399056
7960114691 1056743585 -3971528942
-9730927456 9116790017 -2551013052
-371230701 -2537348835 -5870454190
1007914570 -6652393505 260785281
-910378410 -5188291272 -448759664
-6853309288 -2545533498 6434274504
-4423382668 2694161669 -1597546475
1885932589 -5967306194 3603808586
-4309080456 -3852614306 -2455012739
1729411487 9630878872 6752896993
1596126935 -1892173648 2685003475
2332440223 8410959329 3250475190
-2157714826 -1679344041 -155172595
1234167577 -4559625337 -1606333275
-3350968969 3336017642 -210874426
2454366290 -8690213051 -5575300818
-6001630396 -8182199321 5184805910
9726250296 7631678669 3489628758
-5740330981 6779702602 -9719660428
1083293742 -3794086947 -8428426356
2765062632 -2150643994 9742569027
2219435974 -2673606925 3401469590
3067139428 64736608 8118297665
-4103942126 2008619660 -953872008
-8202547846 2495476103 -3854565480
-393973132 8569810695 -1921737087
3161509934 -8745580785 -571718830
-4280437824 -6326028513 2491409907
6278911021 -2554404361 -151543021
3498325032 -9091588450 -148012657
107691373 4813358991 3663724559
5012379539 -3475338937 -5930662372
8990243106 3806631476 3408874193
-5628953649 -882759367 -9263581234
-5096403573 -5306441200 9269049695
-708198335 5711952818 -4245512672
-3584673330 5848630173 -6734481001
-2853637656 3453869251 -7436134099
3470833974 8132118102 -3537527779
-7552140988 -887352995 8934105527
9713148231 6998844108 -9740455705
8725878002 -6198461358 1390037419
2466617415 -8263142669 354049190
2331805294 -7022852903 -7834254914
-9981218984 212369375 9985005291
-2238653422 3596400505 5790673566
4359017188 -3380014644 4243133384
-6249853321 -3124264139 6587762067
7300684222 -390414760 -5553488930
7444988245 400672310 1138801032
-7714476070 -7806955309 -1377236759
-4990942449 -1627318845 -5231148342
-2059052233 -7404325737 3255884338
5425576926 -6662203168 5327401500
-6521379800 -8776686354 -296638007
2802360467 5323106830 9046692925
1219475142 -9008635652 -8030246182
6272196710 6949874529 5046076859
